index muh2 mus2 l1 l2 lm m1 m2 sint high_h low_h high_s low_s Tc enep enem epp epm
8 9516.55615679 -2345.030879 0.12015937307 0.00778560802416 0.057359796856 124.999698647 11.6985720515 -0.264292352844 -2.36374162e-06 182.22759394 545.580334 419.61339719 59.89 -6.48121e+07 -9.39159e+07 -1.76642e+08 -1.83918e+08 
12 9093.1743155 -3284.09743923 0.11823358442 0.0190142778541 0.0768327329025 125.000170709 24.5689856756 -0.295869209914 0.000153369404 128.01963097 409.349803 367.58756352 89.06 4.05721e+08 3.66209e+08 -1.42605e+08 -1.52483e+08 
14 9372.97088971 -4039.45018482 0.110628540386 0.0222932954927 0.089314745075 125.000447164 20.9410800516 -0.383661351448 0.000268153579 165.41383399 422.400715 352.21829188 68.95 1.31481e+07 -2.16739e+07 -1.83105e+08 -1.91811e+08 
19 8641.40110972 -5099.34292899 0.111020329301 0.0467274292791 0.118344162037 124.999482813 29.13563378 -0.384808979252 -5.60473283e-05 135.41748214 325.701364 288.45374063 85.1 3.16407e+08 2.77044e+08 -1.39605e+08 -1.49445e+08 
21 8196.52824188 -4709.78889382 0.120752484754 0.0477305181149 0.134854672231 124.999949919 15.7696064981 -0.256303070638 -3.22441774e-05 156.08044936 310.271101 249.33652212 74.14 1.45876e+08 1.08682e+08 -1.16372e+08 -1.25671e+08 
24 7981.34903514 -5589.31230448 0.122738815967 0.0789784530099 0.167461534382 125.000158603 16.5790423726 -0.223922049253 -5.72382152e-05 139.58603154 261.348638 218.84671434 83.17 3.16130e+08 2.76758e+08 -9.92676e+07 -1.09111e+08 
28 8241.07752009 -4928.608079 0.119366039063 0.0621456178849 0.130973656193 125.000642538 27.4472062448 -0.281428991504 -0.000353102266 113.72928661 274.996642 249.62022971 97.76 6.96335e+08 6.58020e+08 -9.88481e+07 -1.08427e+08 
29 8188.01397881 -5672.38420228 0.116169150847 0.0772090590166 0.147368289762 124.999950937 29.3585818501 -0.325571911827 -1.16100424e-05 119.98778426 265.326909 238.58277681 94.06 5.75838e+08 5.36890e+08 -1.05024e+08 -1.14761e+08 
31 8205.14443652 -3668.27342949 0.124084814265 0.0354388886638 0.10582678671 124.999933901 18.0452155953 -0.19914629104 0.00016354786 121.33287461 314.785233 278.54745156 93.13 5.59538e+08 5.20307e+08 -9.59003e+07 -1.05708e+08 
35 8367.45330263 -5706.01065388 0.111837710821 0.0713214662393 0.131033743469 125.000168588 37.3278449578 -0.383129690233 -0.000263071537 111.78355493 276.830118 255.78765742 98.87 7.16323e+08 6.78408e+08 -1.15260e+08 -1.24739e+08 
37 8340.20076956 -5255.30280881 0.114370300627 0.0470926352656 0.142739458347 125.000341093 9.48954400681 -0.338736810229 0.00130991043 208.2694929 332.896733 212.57562879 45.31 -1.10400e+08 -1.26673e+08 -1.46596e+08 -1.50664e+08 
40 7876.44999266 -4508.50049115 0.127692450364 0.0553905752388 0.145245736084 125.000225375 7.56006571918 -0.104536667023 -1.14594803e-05 142.37748387 280.254374 228.6824129 81.56 2.92472e+08 2.53235e+08 -9.21260e+07 -1.01935e+08 
46 10054.3319713 -2621.6230366 0.116195685448 0.0080424840307 0.059750056367 125.000367988 8.11187611516 -0.31680034654 4.43324744e-05 211.79520349 569.508916 397.57653887 42.75 -1.84783e+08 -1.98997e+08 -2.13630e+08 -2.17183e+08 
49 8234.78598573 -5647.98785771 0.115045963797 0.0729629200241 0.1440540217 125.000353559 29.6257167771 -0.339595944813 4.46912747e-05 122.78728861 272.746445 244.49596878 92.4 5.23736e+08 4.84585e+08 -1.10058e+08 -1.19845e+08 
52 8645.70077577 -5095.77794274 0.110817959742 0.0457541851461 0.119207840122 125.000264498 27.6598388975 -0.38586098955 -0.000247817341 140.65586533 329.391354 288.2125129 82.25 2.55461e+08 2.16349e+08 -1.42267e+08 -1.52045e+08 
59 702.654702269 -102.146250858 0.112009439661 0.0037322807528 -0.0370639674565 125.000197702 19.4698632368 0.36832223842 4.27803856e-05 169.74001786 178.983869 417.28403745 66.68 1.71992e+08 1.37421e+08 -1.02331e+06 -9.66603e+06 
65 8208.89786746 -6072.58427942 0.112192155275 0.0826997691271 0.148410996116 125.000055665 33.4333781018 -0.37555822481 2.49829067e-05 120.24680166 265.579965 240.41954805 93.88 5.63167e+08 5.24257e+08 -1.12279e+08 -1.22007e+08 
66 8300.08492218 -5535.66997539 0.11483097523 0.0741673596489 0.133243639222 125.000002776 35.7934243665 -0.346963825559 -9.79035198e-05 107.62405383 266.633573 246.89477034 101.5 8.20516e+08 7.83205e+08 -1.04627e+08 -1.13955e+08 
68 7867.10271799 -5278.73516569 0.127266633647 0.0697152843518 0.169972458068 125.000486881 7.05719921307 -0.119296551144 9.44576803e-05 160.28273057 271.578756 206.56403922 72.12 1.34458e+08 9.80625e+07 -1.00055e+08 -1.09154e+08 
74 8027.83903247 -5659.29073593 0.120612402342 0.0610621860188 0.169699478583 124.999905663 4.69105597052 -0.256561240236 0.00044388695 223.28225672 303.789835 151.82317496 35.25 -1.17956e+08 -1.26119e+08 -1.31116e+08 -1.33157e+08 
86 8054.63041255 -5568.23165037 0.120290001366 0.0661056955506 0.163281545669 124.999976772 13.7575244453 -0.262801013702 -2.32937696e-05 169.84287637 287.366519 217.15758375 67.0 5.71267e+07 2.34384e+07 -1.17314e+08 -1.25736e+08 
93 8439.55624886 -3261.14938977 0.122898730325 0.0241604895612 0.0899933886452 124.999882525 18.0551475512 -0.221458926703 2.98183406e-05 130.6397133 361.022459 314.87623337 87.7 4.04740e+08 3.65100e+08 -1.10775e+08 -1.20685e+08 
94 8289.65028618 -4779.9101776 0.119074119066 0.0543476135823 0.127417261989 124.99968728 25.2157885519 -0.284500492496 -5.44759708e-05 122.18458523 290.550623 259.35364893 92.69 5.36394e+08 4.97219e+08 -1.05940e+08 -1.15734e+08 
100 7823.29900037 -5249.64228645 0.128734758399 0.0829033075172 0.172454218496 125.000132864 4.37455207505 -0.0530831513649 0.000143330069 130.9454188 246.0032 207.22683453 88.02 4.38084e+08 3.98390e+08 -8.36750e+07 -9.35985e+07 
106 8118.79872013 -5535.5855942 0.118777392729 0.0735811272608 0.153440691756 124.999695013 23.1619231522 -0.287729711938 4.04291668e-05 131.09120667 269.16532 234.09422868 87.75 4.10656e+08 3.71126e+08 -1.04662e+08 -1.14544e+08 
108 8613.49741102 -4961.65077963 0.113207483666 0.049383260318 0.113113279456 124.999968746 33.9841990087 -0.364575482945 -0.000151503399 116.14839042 310.963567 285.66161921 96.12 6.17338e+08 5.78831e+08 -1.25659e+08 -1.35286e+08 
113 7898.39462008 -4821.96506255 0.126905159616 0.0704055033874 0.15269953364 125.000255824 11.7372149985 -0.130909294441 -8.5978366e-05 122.88500466 255.321442 221.61824207 92.51 5.53850e+08 5.14488e+08 -8.33787e+07 -9.32191e+07 
114 9108.08705533 -4583.68944164 0.110618380126 0.0342781335884 0.0921087955314 125.000157494 36.8340567397 -0.395918411773 -0.000270450376 115.6258736 359.71355 334.46862288 96.28 5.94118e+08 5.55708e+08 -1.54322e+08 -1.63925e+08 
115 8222.89378499 -4538.32939719 0.120994490949 0.0449206233972 0.129302957196 124.999954023 16.4635537956 -0.252744567911 7.12873281e-05 150.991383 313.623505 256.69607978 76.81 1.87498e+08 1.49400e+08 -1.14881e+08 -1.24405e+08 
120 8274.39616475 -5068.75253124 0.117350787025 0.0503295826202 0.139562241943 124.999846499 16.431774677 -0.304297328764 3.85424648e-05 167.00071129 314.283047 245.69572027 68.38 6.17680e+07 2.72838e+07 -1.27705e+08 -1.36326e+08 
124 8348.00995574 -3719.08480851 0.122027500454 0.0251533826828 0.108094564337 125.00008978 6.39328080679 -0.234336046363 -8.45626775e-05 209.31670199 383.152194 229.89231846 44.5 -1.03679e+08 -1.19326e+08 -1.37455e+08 -1.41366e+08 
128 7842.09856138 -5842.08273743 0.127676604154 0.094479909703 0.18926053484 125.000097676 7.67103131957 -0.105131682165 -6.44607326e-05 141.7317877 244.053391 199.14053899 82.15 3.04563e+08 2.65253e+08 -9.06420e+07 -1.00470e+08 
134 8103.58708839 -3035.39066719 0.126264549491 0.0222451676281 0.0930039992314 124.999854443 9.9795328974 -0.148625849477 0.000880293422 148.87706371 364.097681 294.65909412 77.8 2.14988e+08 1.76461e+08 -1.03908e+08 -1.13540e+08 
146 8232.16999478 -4358.28430164 0.121760289023 0.049182852934 0.120791797452 124.999951578 22.7738198625 -0.242468275166 0.000424145117 117.60871873 290.967416 260.87605726 95.38 6.23271e+08 5.84447e+08 -9.75877e+07 -1.07294e+08 
147 9145.88212502 -4584.9284717 0.110692311171 0.034385873176 0.089105689691 124.999881391 39.3682827091 -0.397834427824 0.000188873978 109.99683475 358.847394 336.93806831 99.72 7.07244e+08 6.69604e+08 -1.54164e+08 -1.63574e+08 
