index muh2 mus2 l1 l2 lm m1 m2 sint high_h low_h high_s low_s Tn pp pm enep enem epp epm dsdt
35 8367.45330263 -5706.01065388 0.111837710821 0.0713214662393 0.131033743469 125.000168588 37.3278449578 -0.383129690233 -1.52441342e-05 125.39474285 276.89656 250.10603862 98.08 3.83732e+08 3.84072e+08 6.90120e+08 6.43383e+08 -1.15269e+08 -1.27208e+08 1e+100 
59 702.654702269 -102.146250858 0.112009439661 0.0037322807528 -0.0370639674565 125.000197702 19.4698632368 0.36832223842 1.87180995e-05 202.04374678 178.261372 482.78410507 61.8 4.35601e+07 4.63921e+07 1.26675e+08 8.61737e+07 -1.00134e+06 -1.32507e+07 152.136 
64 8251.43022782 -5730.96598815 0.114919191734 0.0861563560028 0.134480865631 125.000026186 40.0956777628 -0.349898187701 9.48596771e-06 109.86089947 250.789833 231.84198999 106.7 4.73491e+08 4.73686e+08 1.03210e+09 9.88773e+08 -9.70940e+07 -1.08071e+08 1e+100 
66 8300.08492218 -5535.66997539 0.11483097523 0.0741673596489 0.133243639222 125.000002776 35.7934243665 -0.346963825559 -8.77514914e-06 120.32158465 266.695811 241.74790173 100.8 4.04671e+08 4.04957e+08 7.95474e+08 7.49649e+08 -1.04634e+08 -1.16305e+08 1e+100 
68 7867.10271799 -5278.73516569 0.127266633647 0.0697152843518 0.169972458068 125.000486881 7.05719921307 -0.119296551144 4.21776597e-05 185.50786233 271.804738 179.49693595 69.16 1.66144e+08 1.67822e+08 9.81305e+07 5.44125e+07 -1.00075e+08 -1.12263e+08 123.906 
100 7823.29900037 -5249.64228645 0.128734758399 0.0829033075172 0.172454218496 125.000132864 4.37455207505 -0.0530831513649 -5.36505925e-06 149.24063881 246.133954 194.25105032 86.63 2.46877e+08 2.47588e+08 4.05886e+08 3.56433e+08 -8.36859e+07 -9.65827e+07 589.763 
106 8118.79872013 -5535.5855942 0.118777392729 0.0735811272608 0.153440691756 124.999695013 23.1619231522 -0.287729711938 9.33438968e-06 149.31405951 269.281774 222.703 86.37 2.65849e+08 2.66557e+08 3.78853e+08 3.29665e+08 -1.04674e+08 -1.17502e+08 592.519 
120 8274.39616475 -5068.75253124 0.117350787025 0.0503295826202 0.139562241943 124.999846499 16.431774677 -0.304297328764 -5.72089199e-06 193.4568715 314.516379 217.63272744 64.92 1.79019e+08 1.80954e+08 2.61495e+07 -1.43146e+07 -1.27727e+08 -1.39294e+08 106.308 
138 7843.84396756 -3435.24093297 0.128696983637 0.0457370032707 0.112030834512 125.000484689 6.50179658575 -0.0558158543692 -8.18397433e-07 113.9434757 264.713074 233.79351139 104.6 4.14875e+08 4.15108e+08 9.78914e+08 9.34032e+08 -6.64279e+07 -7.78230e+07 1e+100 
142 3294.5254764 -271.905818037 0.114144915691 0.0123105856245 -0.0499143219186 125.000043296 41.8879284653 0.361219688331 -2.65720748e-05 112.54907704 161.860496 226.0681615 105.8 3.69628e+08 3.69883e+08 1.09115e+09 1.04512e+09 -4.43339e+06 -1.61332e+07 1e+100 
147 9145.88212502 -4584.9284717 0.110692311171 0.034385873176 0.089105689691 124.999881391 39.3682827091 -0.397834427824 1.96190867e-05 123.27826302 358.90443 331.12225443 98.97 4.32760e+08 4.33078e+08 6.81599e+08 6.35227e+08 -1.54170e+08 -1.66002e+08 1e+100 
179 9083.37638659 -4523.63864569 0.111581851699 0.0346254096444 0.0906594520825 124.999844297 37.9596035799 -0.386608796611 1.56058614e-05 124.47526855 355.166175 326.16501189 98.36 4.20854e+08 4.21186e+08 6.66385e+08 6.19764e+08 -1.49044e+08 -1.60948e+08 1e+100 
181 8016.39721023 -3903.86908099 0.126035102598 0.0528843627412 0.117432566331 125.000524285 18.1796531257 -0.155685964803 7.34366912e-06 112.67092263 262.909941 235.49263082 105.3 4.31018e+08 4.31238e+08 9.97237e+08 9.52806e+08 -7.39539e+07 -8.52270e+07 1e+100 
196 8110.74318044 -5400.21221276 0.119517017759 0.0627102474963 0.154989649354 124.999619412 16.1705820821 -0.274735856258 6.10784588e-05 184.9843987 290.246906 205.58350253 69.28 1.82967e+08 1.84620e+08 8.32612e+07 3.95508e+07 -1.16410e+08 -1.28577e+08 123.861 
206 8493.70906408 -5226.88399375 0.113112869665 0.0572353100197 0.121347888995 124.999674734 34.2868367694 -0.365918952274 -1.20432326e-06 130.19373044 296.307736 264.98400987 95.57 3.62395e+08 3.62795e+08 6.05717e+08 5.58155e+08 -1.20367e+08 -1.32557e+08 1e+100 
